episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result
123,-34.85000000000002,100,False,True,False,0,"(6, 5)",True,False,True,False,False,False,False,False
124,-32.65000000000003,100,False,True,False,0,"(3, 4)",False,False,False,False,False,False,False,False
125,-24.750000000000004,100,False,True,False,0,"(5, 6)",True,True,False,True,False,False,False,False
126,-38.10000000000001,100,False,True,False,0,"(6, 2)",False,False,False,False,False,False,False,False
127,-23.30000000000002,100,False,True,False,0,"(5, 3)",True,True,False,True,False,False,False,False
128,-27.35000000000001,100,False,True,False,0,"(2, 1)",True,True,True,False,False,False,False,False
129,-33.300000000000026,100,False,True,False,0,"(1, 1)",True,False,False,False,False,False,False,False
130,-40.850000000000016,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
131,-35.25000000000003,100,False,True,False,0,"(6, 3)",False,False,False,True,False,False,False,False
132,-31.65000000000002,100,False,True,False,0,"(3, 4)",True,True,False,False,False,False,False,False
133,-33.15000000000003,100,False,True,False,0,"(1, 6)",False,False,True,False,False,False,False,False
134,-31.05000000000003,100,False,True,False,0,"(6, 5)",False,False,False,True,False,False,False,False
135,-41.95,100,False,True,False,0,"(1, 2)",False,False,False,False,False,False,False,False
136,-38.849999999999994,100,False,True,False,0,"(6, 1)",False,False,False,False,False,False,False,False
137,-29.750000000000025,100,False,True,False,0,"(6, 5)",False,False,True,True,False,False,False,False
138,-31.600000000000026,100,False,True,False,0,"(5, 1)",False,False,False,False,False,False,False,False
139,-29.400000000000023,100,False,True,False,0,"(4, 4)",True,True,False,False,False,False,False,False
140,-34.60000000000002,100,False,True,False,0,"(1, 3)",True,False,False,False,False,False,False,False
141,-33.15000000000003,100,False,True,False,0,"(4, 3)",False,False,False,False,False,False,False,False
142,-29.250000000000025,100,False,True,False,0,"(6, 5)",False,False,True,False,False,False,False,False
143,-24.35000000000002,100,False,True,False,0,"(5, 2)",True,True,True,False,False,False,False,False
144,-29.60000000000002,100,False,True,False,0,"(3, 3)",True,True,True,False,False,False,False,False
145,-31.150000000000027,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
146,-34.150000000000006,100,False,True,False,0,"(2, 1)",True,False,False,False,False,False,False,False
147,-38.35000000000002,100,False,True,False,0,"(1, 2)",False,False,False,False,False,False,False,False
148,-36.25000000000003,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
149,-32.35000000000002,100,False,True,False,0,"(3, 6)",True,False,False,False,False,False,False,False
150,-40.350000000000016,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
151,-29.15000000000002,100,False,True,False,0,"(1, 2)",False,False,True,False,False,False,False,False
152,-36.35000000000002,100,False,True,False,0,"(5, 2)",False,False,False,False,False,False,False,False
153,-36.15000000000002,100,False,True,False,0,"(6, 5)",False,False,False,False,False,False,False,False
154,-31.000000000000025,100,False,True,False,0,"(1, 5)",False,False,True,False,False,False,False,False
155,-37.30000000000002,100,False,True,False,0,"(1, 3)",True,False,False,False,False,False,False,False
156,-32.300000000000026,100,False,True,False,0,"(3, 5)",False,False,True,False,False,False,False,False
157,-43.04999999999997,100,False,True,False,0,"(3, 6)",False,False,False,False,False,False,False,False
158,-37.05000000000001,100,False,True,False,0,"(3, 6)",False,False,False,False,False,False,False,False
159,-35.40000000000002,100,False,True,False,0,"(1, 5)",False,False,True,False,False,False,False,False
160,-39.25000000000001,100,False,True,False,0,"(4, 1)",False,False,False,False,False,False,False,False
161,-45.09999999999999,100,False,True,False,0,"(5, 1)",False,False,False,False,False,False,False,False
162,-36.20000000000002,100,False,True,False,0,"(1, 3)",False,False,False,False,False,False,False,False
163,-42.39999999999997,100,False,True,False,0,"(5, 1)",False,False,False,False,False,False,False,False
164,-27.20000000000003,100,False,True,False,0,"(6, 6)",True,True,False,False,False,False,False,False
165,-35.20000000000002,100,False,True,False,0,"(1, 5)",True,False,False,False,False,False,False,False
166,-44.79999999999999,100,False,True,False,0,"(1, 5)",True,False,False,False,False,False,False,False
167,-37.000000000000014,100,False,True,False,0,"(3, 5)",False,False,False,False,False,False,False,False
168,-33.45000000000002,100,False,True,False,0,"(2, 1)",True,True,False,False,False,False,False,False
169,-29.600000000000026,100,False,True,False,0,"(5, 1)",False,False,False,True,False,False,False,False
170,-29.850000000000023,100,False,True,False,0,"(5, 2)",True,True,False,False,False,False,False,False
171,-30.100000000000023,100,False,True,False,0,"(3, 5)",False,False,False,True,False,False,False,False
172,-36.85000000000002,100,False,True,False,0,"(3, 4)",True,False,False,False,False,False,False,False
173,-25.250000000000032,100,False,True,False,0,"(5, 4)",False,False,True,True,False,False,False,False
174,-33.50000000000002,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
175,-32.70000000000002,100,False,True,False,0,"(1, 5)",False,False,True,False,False,False,False,False
176,-30.300000000000026,100,False,True,False,0,"(6, 6)",True,True,False,False,False,False,False,False
177,-30.750000000000025,100,False,True,False,0,"(3, 4)",True,False,True,False,False,False,False,False
178,-24.45000000000003,100,False,True,False,0,"(3, 6)",False,False,True,True,False,False,False,False
179,-34.10000000000003,100,False,True,False,0,"(5, 5)",False,False,False,False,False,False,False,False
180,-40.400000000000006,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
181,-39.35,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
182,-41.25,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
183,-37.2,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
184,-33.300000000000026,100,False,True,False,0,"(4, 4)",False,False,True,False,False,False,False,False
185,-31.15000000000003,100,False,True,False,0,"(5, 6)",False,False,False,False,False,False,False,False
186,-32.700000000000024,100,False,True,False,0,"(4, 4)",False,False,False,False,False,False,False,False
187,-30.900000000000027,100,False,True,False,0,"(1, 1)",False,False,False,True,False,False,False,False
188,-30.950000000000035,100,False,True,False,0,"(5, 4)",False,False,True,False,False,False,False,False
