episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result,epsilon
117,-13.45,100,False,True,False,1,"(2, 1)",True,True,True,True,True,True,False,False,0.5590843898207511
118,-17.900000000000002,100,False,True,False,0,"(5, 5)",True,False,True,True,False,False,False,False,0.5562889678716474
119,-20.60000000000001,100,False,True,False,0,"(1, 5)",True,True,True,False,False,False,False,False,0.5535075230322891
120,-18.1,100,False,True,False,0,"(1, 3)",True,True,True,True,False,False,False,False,0.5507399854171277
121,-16.4,100,False,True,False,1,"(4, 4)",True,True,True,True,True,False,False,False,0.547986285490042
122,-17.45000000000001,100,False,True,False,0,"(1, 4)",True,True,False,True,False,False,False,False,0.5452463540625918
123,-11.799999999999995,100,False,True,False,0,"(3, 1)",True,True,True,True,False,False,False,False,0.5425201222922789
124,-10.299999999999999,100,False,True,False,1,"(5, 5)",True,True,True,True,True,True,False,False,0.5398075216808175
125,-16.550000000000004,100,False,True,False,0,"(3, 2)",True,True,False,True,False,False,False,False,0.5371084840724134
126,-32.800000000000004,100,False,True,False,1,"(5, 3)",True,True,True,True,True,True,False,False,0.5344229416520513
127,-14.950000000000006,100,False,True,False,0,"(1, 6)",True,True,True,True,False,False,False,False,0.531750826943791
128,-15.200000000000006,100,False,True,False,0,"(5, 1)",True,True,False,True,False,False,False,False,0.5290920728090721
129,-17.050000000000008,100,False,True,False,0,"(1, 2)",True,False,True,True,False,False,False,False,0.5264466124450268
130,-9.399999999999999,100,False,True,False,1,"(5, 5)",True,True,True,True,True,True,False,False,0.5238143793828016
131,-16.75000000000001,100,False,True,False,0,"(5, 2)",True,True,True,True,False,False,False,False,0.5211953074858876
132,-14.050000000000004,100,False,True,False,0,"(3, 2)",True,True,True,True,False,False,False,False,0.5185893309484582
133,-15.850000000000001,100,False,True,False,0,"(4, 3)",True,True,True,True,False,False,False,False,0.5159963842937159
134,-18.650000000000013,100,False,True,False,0,"(5, 4)",False,False,True,True,False,False,False,False,0.5134164023722473
135,-11.349999999999993,100,False,True,False,0,"(3, 6)",True,True,True,True,False,False,False,False,0.510849320360386
